"BehaviorSpace results (NetLogo 3D 6.3.0)"
"Virus Mitigation.nlogo3d"
"experiment"
"04/12/2023 19:59:27:521 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population_size","proportion_of_masks","starting_infected","[step]","transmission_count"
"4","500","0","10","2000","52353"
"3","500","0","10","2000","54668"
"8","500","0","10","2000","53157"
"2","500","0","10","2000","53548"
"5","500","0","10","2000","52273"
"6","500","0","10","2000","53068"
"7","500","0","10","2000","52576"
"9","500","0","10","2000","52466"
"10","500","0","10","2000","52723"
"11","500","0","10","2000","54110"
"12","500","0","10","2000","53200"
"13","500","0","10","2000","52554"
"15","500","0","10","2000","52445"
"14","500","0","10","2000","53393"
"16","500","0","10","2000","53333"
"17","500","0","10","2000","53226"
"18","500","0","10","2000","53609"
"19","500","0","10","2000","52910"
"20","500","0","10","2000","52645"
"21","500","25","10","2000","54575"
"22","500","25","10","2000","57072"
"24","500","25","10","2000","55102"
"23","500","25","10","2000","55751"
"25","500","25","10","2000","54632"
"26","500","25","10","2000","54647"
"27","500","25","10","2000","56033"
"28","500","25","10","2000","56557"
"29","500","25","10","2000","55614"
"31","500","25","10","2000","55726"
"30","500","25","10","2000","56023"
"32","500","25","10","2000","55916"
"33","500","25","10","2000","55702"
"34","500","25","10","2000","55251"
"35","500","25","10","2000","54365"
"36","500","25","10","2000","55749"
"38","500","25","10","2000","56145"
"37","500","25","10","2000","56758"
"39","500","25","10","2000","55600"
"40","500","25","10","2000","55227"
"41","500","50","10","2000","59487"
"42","500","50","10","2000","57962"
"43","500","50","10","2000","59224"
"44","500","50","10","2000","59737"
"45","500","50","10","2000","59972"
"46","500","50","10","2000","60265"
"47","500","50","10","2000","59199"
"49","500","50","10","2000","58300"
"48","500","50","10","2000","59337"
"50","500","50","10","2000","60198"
"51","500","50","10","2000","57894"
"52","500","50","10","2000","58223"
"53","500","50","10","2000","59059"
"54","500","50","10","2000","59589"
"55","500","50","10","2000","57749"
"56","500","50","10","2000","59125"
"57","500","50","10","2000","60484"
"58","500","50","10","2000","58820"
"59","500","50","10","2000","58652"
"60","500","50","10","2000","59044"
"61","500","75","10","2000","62648"
"62","500","75","10","2000","62908"
"63","500","75","10","2000","64262"
"64","500","75","10","2000","64783"
"65","500","75","10","2000","63562"
"67","500","75","10","2000","61754"
"66","500","75","10","2000","63609"
"68","500","75","10","2000","61821"
"69","500","75","10","2000","62472"
"70","500","75","10","2000","63286"
"71","500","75","10","2000","63060"
"72","500","75","10","2000","62072"
"73","500","75","10","2000","63137"
"74","500","75","10","2000","64698"
"75","500","75","10","2000","63739"
"76","500","75","10","2000","63244"
"77","500","75","10","2000","64522"
"78","500","75","10","2000","63942"
"79","500","75","10","2000","65171"
"80","500","75","10","2000","64272"
"81","500","100","10","2000","68174"
"82","500","100","10","2000","69636"
"83","500","100","10","2000","69378"
"84","500","100","10","2000","70976"
"85","500","100","10","2000","68714"
"86","500","100","10","2000","67390"
"87","500","100","10","2000","67336"
"88","500","100","10","2000","68032"
"89","500","100","10","2000","69364"
"90","500","100","10","2000","69677"
"91","500","100","10","2000","69109"
"92","500","100","10","2000","70023"
"94","500","100","10","2000","68117"
"93","500","100","10","2000","69198"
"95","500","100","10","2000","66615"
"96","500","100","10","2000","66635"
"97","500","100","10","2000","68330"
"98","500","100","10","2000","70039"
"99","500","100","10","2000","69398"
"100","500","100","10","2000","68457"
"1","500","0","10","2000","53371"
